Relay Height,Gain,m,n,Time Delay,Amplitude,Time Period,Estimated m,Estimated n
1,4,8,5,2,1.471,11.493,8.668474728,5.624934232
1,5,10,10,2,1.005,10.716,10.05210792,9.958618401
1,7,6,4,8,7.053,23.527,4.523917794,3.994585684
1,1,7,4,2,0.461,11.287,7.163339335,4.451319963
1,6,10,6,2,1.898,11.933,10.79186066,6.642473794
1,8,9,1,5,28.47,18.995,8.867982059,1.077880187
1,4,8,2,7,7.19,21.281,7.604854703,2.110080814
1,8,9,4,8,3.856,12.294,-2.078646251,-4.195294454
1,3,7,4,2,1.383,11.287,7.163339335,4.451319963
1,4,9,1,7,13.35,20.805,8.802079989,1.081366261
1,6,2,1,7,9.352,17.048,2.272072382,1.180486387
1,7,8,4,2,3.294,12.038,8.665069533,4.480821439
1,2,5,3,7,2.231,20.569,4.141837321,3.150889574
1,4,6,2,6,6.354,18.61,5.682883989,2.132568042
1,1,5,1,7,2.282,18.374,5.053529113,1.109625838
1,5,6,3,2,3.185,11.402,6.266312145,3.236070459
1,1,9,1,5,3.559,18.995,8.868001126,1.077804472
1,7,9,4,5,6.286,19.132,8.335669217,4.30636176
1,4,9,1,3,11.69,16.975,8.711700158,1.054484484
1,1,3,3,3,0.765,11.374,2.805997783,3.001629062
1,7,8,4,3,4.698,14.515,8.058387194,4.221279985
1,1,9,1,8,3.068,22.246,9.229174642,1.134418836
1,1,10,2,6,2.078,21.147,9.867708705,2.016078542
1,6,6,2,5,9.17,17.066,5.73775233,2.180777711
1,5,10,2,8,10.01,23.999,9.949138637,2.103623774
1,1,9,1,4,3.52,18.198,8.960792943,1.028839392
1,3,6,1,6,5.481,17.352,4.617672554,1.586471212
1,2,6,3,7,2.33,21.009,5.080240404,3.166394861
1,3,9,5,2,1.105,11.983,9.9075744,5.714224348
1,7,8,1,3,19.65,15.941,7.542314768,1.065065193
1,8,7,5,2,3.08,10.945,7.15064819,5.253889861
1,7,9,5,4,4.894,16.671,7.849878935,4.822335321
1,6,7,2,3,7.873,14.798,7.122020957,2.185248293
1,2,2,2,3,2.07,10.344,1.880655677,1.96154857
1,6,9,4,3,4.03,15.084,9.212031129,4.318173009
1,2,8,2,7,3.595,21.281,7.604854703,2.110080814
1,4,3,1,8,0.5143,5.127,-5.459100423,-2.991924037
1,6,3,2,4,7.235,12.942,2.617889905,2.026832223
1,4,3,1,5,7.862,13.938,2.908581876,1.114494984
1,5,3,1,2,8.451,9.809,2.961641852,1.127023767
1,4,4,2,8,5.212,21.051,3.227825012,2.240661776
1,1,8,3,3,0.8892,14.978,8.182760849,3.248258543
1,4,9,3,2,2.753,13.316,9.367153692,3.174695407
1,5,7,4,5,4.146,18.183,6.364506434,4.388985487
1,4,6,4,3,2.524,13.222,5.720929927,4.201508874
1,7,10,3,6,10.06,21.436,9.713245956,2.969360937
1,7,10,1,3,20.27,18.057,10.08521145,1.092241674
1,1,7,2,6,1.723,19.239,6.749865498,2.093894518
1,3,2,10,6,1.351,19.957,1.164166811,8.52944297
1,1,8,4,7,1.034,22.556,7.014157872,4.106608259
1,3,10,5,7,2.709,23.732,8.658976617,5.11460736
1,7,10,1,2,16.39,15.691,8.597169387,0.974987906
1,5,2,2,5,5.393,14.188,1.487683919,2.132519762
1,2,7,3,2,1.248,12.089,7.528923275,3.384669909
1,7,4,1,3,16.48,12.284,3.897310936,1.056633662
1,8,6,3,2,5.096,11.402,6.266312145,3.236070459
1,6,7,1,3,16.26,15.491,7.068508298,1.086530677
1,1,10,2,3,1.439,16.451,9.356229837,2.110567876
1,3,10,4,7,3.306,23.439,9.07770323,4.110322232
1,8,8,3,8,10.48,23.803,7.168883024,3.156366537
1,4,6,1,7,10.14,19.061,6.097686446,1.128632789
1,8,8,1,5,27.92,18.222,7.942245693,1.045633883
